Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary
"Found: ""2""",Used < 1000 iteration for PBE,8,Used < 1000 iteration for PBE,326,1,org.bouncycastle.jcajce.provider.keystore.bc.BcKeyStoreSpi,loadStore,false
"Found: ""www.bouncycastle.org""",Found predictable seeds in code,11,Found predictable seeds in code,760,1,org.bouncycastle.crypto.examples.DESExample,init,false
"Found: ""100""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""108""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""101""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""119""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""104""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""114""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""108""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""111""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""111""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""108""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""32""",Used Predictable KeyStore Password,14,Used Predictable KeyStore Password,321,1,org.bouncycastle.jce.examples.PKCS12Example,clinit,false
"Found: ""http://www.google.""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.google.zxing.client.android.result.supplement.ProductResultInfoRetriever,retrieveSupplementalInfo,true
"Found: ""http://""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,org.apache.log4j.lf5.viewer.LogBrokerMonitor,requestOpenURL,false
"Found: ""http://www.google.com/books?id=""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.google.zxing.client.android.book.SearchBookContentsActivity$NetworkTask,doInBackground,true
"Found: ""http://""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,org.apache.log4j.helpers.SyslogWriter,init,false
"Found: ""http://www.google.com/books?vid=isbn""",Used HTTP Protocol,7,Used HTTP Protocol,650,1,com.google.zxing.client.android.book.SearchBookContentsActivity$NetworkTask,doInBackground,true
