Message,Description,RuleNumber,RuleDesc,CWEId,Severity,ClassName,MethodName,ExternalLibrary,PossibleExternal
"Found: Constant ""-56""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""52""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-9""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-102""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""12""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-103""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""127""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-65""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-122""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-103""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""107""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""126""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-31""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""-50""",Used constant keys in code,3,Used constant keys in code,547,1,a6.m,clinit,false,false
"Found: Constant ""67""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
"Found: Constant ""-100""",Used constant keys in code,3,Used constant keys in code,547,1,x5.c,clinit,false,false
